Unique ID,Geo Type Name
336517,UHF42
212420,UHF42
643332,UHF42
643637,CD
643607,CD
167597,CD
336731,CD
667538,CD
643565,CD
667550,CD
166006,CD
628459,UHF42
518918,UHF42
628446,UHF42
518892,UHF42
131441,UHF42
131415,UHF42
131433,UHF42
131431,UHF42
518910,UHF42
518908,UHF42
628457,UHF42
518890,UHF42
518897,UHF42
334326,CD
168543,CD
549905,UHF34
741039,UHF34
549938,UHF34
171645,UHF34
172722,UHF34
172076,UHF34
172072,UHF34
336681,UHF34
549893,UHF34
643428,UHF42
212295,UHF42
175264,UHF42
602815,UHF42
825747,UHF42
825990,UHF42
165870,CD
166637,CD
550031,CD
165899,CD
412696,CD
412732,CD
826000,CD
825847,CD
166873,CD
166814,CD
602972,CD
603008,CD
826036,CD
166902,CD
166843,CD
550067,CD
741201,CD
412721,CD
166734,CD
166793,CD
175277,UHF42
643402,UHF42
412679,CD
741145,CD
412685,CD
741157,CD
165969,CD
165851,CD
213630,CD
550152,CD
603093,CD
550150,CD
165821,CD
165939,CD
550062,CD
550060,CD
165937,CD
165819,CD
550056,CD
550054,CD
175256,UHF42
212290,UHF42
643432,UHF42
602818,UHF42
827420,UHF42
628523,UHF42
165792,CD
643708,CD
603018,CD
213581,CD
602761,UHF42
602707,UHF42
131382,UHF42
518944,UHF42
628493,UHF42
518937,UHF42
213251,CD
826047,CD
412430,UHF42
131508,UHF42
131530,UHF42
518815,UHF42
628566,UHF42
518800,UHF42
177162,UHF42
605764,UHF42
823225,UHF42
410759,UHF42
177876,UHF42
410793,UHF42
177819,UHF42
547438,UHF42
742442,CD
628552,UHF42
175929,UHF42
603019,CD
336495,UHF42
826022,CD
169490,CD
605996,CD
823503,CD
170184,CD
170302,CD
213951,CD
649956,CD
650052,CD
170214,CD
170332,CD
669964,CD
170361,CD
823179,CD
826375,CD
178554,UHF42
823238,UHF42
170391,CD
823552,CD
168414,CD
213774,CD
605956,CD
213806,CD
606052,CD
650050,CD
649960,CD
168444,CD
213804,CD
825825,CD
826327,CD
643579,CD
213455,CD
336886,CD
213418,CD
167515,CD
167633,CD
336888,CD
165863,CD
166630,CD
167751,CD
167800,CD
166679,CD
165912,CD
336693,UHF34
741045,UHF34
643350,UHF42
175270,UHF42
212307,UHF42
825732,UHF42
741291,CD
603023,CD
166856,CD
166915,CD
826015,CD
166807,CD
