Series_Title,Runtime
A Few Good Men,138 min
Fried Green Tomatoes,130 min
Barton Fink,116 min
Miller's Crossing,115 min
Who Framed Roger Rabbit,104 min
Spoorloos,107 min
Withnail & I,107 min
The Last Emperor,163 min
Empire of the Sun,153 min
Der Name der Rose,130 min
Blue Velvet,120 min
The Purple Rose of Cairo,82 min
After Hours,97 min
Zelig,79 min
The Verdict,129 min
Star Trek II: The Wrath of Khan,113 min
First Blood,93 min
Ordinary People,124 min
Airplane!,88 min
Rupan sansei: Kariosutoro no shiro,100 min
Halloween,91 min
Le locataire,126 min
Love and Death,85 min
The Taking of Pelham One Two Three,104 min
Blazing Saddles,93 min
Serpico,130 min
Enter the Dragon,102 min
Deliverance,109 min
The French Connection,104 min
Dirty Harry,102 min
Where Eagles Dare,158 min
The Odd Couple,105 min
The Dirty Dozen,150 min
Belle de jour,100 min
A Man for All Seasons,120 min
Repulsion,105 min
Zulu,138 min
Goldfinger,110 min
The Birds,119 min
Cape Fear,106 min
Peeping Tom,101 min
The Magnificent Seven,128 min
Les yeux sans visage,90 min
Invasion of the Body Snatchers,80 min
Rebel Without a Cause,111 min
The Ladykillers,91 min
Sabrina,113 min
The Quiet Man,129 min
The Day the Earth Stood Still,92 min
The African Queen,105 min
Gilda,110 min
Fantasia,125 min
The Invisible Man,71 min
Dark Waters,126 min
Searching,102 min
Once Upon a Time... in Hollywood,161 min
Nelyubov,127 min
The Florida Project,111 min
Just Mercy,137 min
Gifted,101 min
The Peanut Butter Falcon,97 min
Victoria,138 min
Mustang,97 min
Guardians of the Galaxy Vol. 2,136 min
Baby Driver,113 min
Only the Brave,134 min
Bridge of Spies,142 min
Incredibles 2,118 min
Moana,107 min
Sicario,121 min
Creed,133 min
Leviafan,140 min
Hell or High Water,102 min
Philomena,98 min
Dawn of the Planet of the Apes,130 min
El cuerpo,112 min
Serbuan maut,101 min
End of Watch,109 min
Kari-gurashi no Arietti,94 min
A Star Is Born,136 min
True Grit,110 min
Hævnen,118 min
Despicable Me,95 min
50/50,100 min
Kick-Ass,117 min
Celda 211,113 min
Moneyball,133 min
La piel que habito,120 min
Zombieland,88 min
Die Welle,107 min
Sherlock Holmes,128 min
The Blind Side,129 min
The Visitor,104 min
Seven Pounds,123 min
Eastern Promises,100 min
Stardust,127 min
The Secret of Kells,71 min
Inside Man,129 min
Gone Baby Gone,114 min
La Vie En Rose,140 min
Huo Yuan Jia,104 min
The Illusionist,110 min
Dead Man's Shoes,90 min
Harry Potter and the Half-Blood Prince,153 min
300,117 min
Match Point,124 min
Watchmen,162 min
Lord of War,122 min
Saw,103 min
"Synecdoche, New York",124 min
Mysterious Skin,105 min
Jeux d'enfants,93 min
Un long dimanche de fiançailles,133 min
The Station Agent,89 min
21 Grams,124 min
Boksuneun naui geot,129 min
Finding Neverland,106 min
25th Hour,135 min
The Butterfly Effect,113 min
28 Days Later...,113 min
Batoru rowaiaru,114 min
The Royal Tenenbaums,110 min
Y tu mamá también,106 min
Harry Potter and the Sorcerer's Stone,152 min
The Others,101 min
Blow,124 min
Enemy at the Gates,131 min
Minority Report,145 min
The Hurricane,146 min
American Psycho,101 min
Lola rennt,81 min
The Thin Red Line,170 min
Mulan,88 min
Fear and Loathing in Las Vegas,118 min
Funny Games,108 min
Dark City,100 min
Sleepers,147 min
Lost Highway,134 min
Sense and Sensibility,136 min
Die Hard: With a Vengeance,128 min
Dead Man,121 min
The Bridges of Madison County,135 min
Apollo 13,140 min
Trois couleurs: Blanc,92 min
Falling Down,113 min
Dazed and Confused,102 min
My Cousin Vinny,120 min
Omohide poro poro,118 min
Delicatessen,99 min
Home Alone,103 min
The Godfather: Part III,162 min
When Harry Met Sally...,95 min
The Little Mermaid,83 min
The Naked Gun: From the Files of Police Squad!,85 min
"Planes, Trains & Automobiles",93 min
Lethal Weapon,109 min
Blood Simple,99 min
On Golden Pond,109 min
Mad Max 2,96 min
The Warriors,92 min
The Muppet Movie,95 min
Escape from Alcatraz,112 min
